,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ
1422,1,1,464000,466600000,5,1,5,45,1,0,1,4,15,0
1423,2,1,552000,420300000,4,2,2,30,1,1,2,1,6,0
1424,1,1,168000,182300000,2,1,4,40,1,0,2,4,8,0
1426,1,1,664000,37100000,4,3,5,36,1,0,4,2,12,0
1427,2,1,768000,315500000,3,3,5,37,0,0,2,2,3,0
1430,1,2,168000,60300000,1,1,4,30,0,0,3,1,3,0
1432,2,1,328000,127600000,2,2,3,29,1,0,2,2,5,0
1433,2,2,376000,243700000,5,2,2,28,1,0,3,3,10,0
1434,2,1,184000,463800000,1,1,5,32,1,0,3,1,12,0
1437,1,2,576000,496100000,1,3,5,35,1,1,4,4,3,0
1439,1,1,104000,349400000,3,1,4,29,1,0,3,4,12,0
1440,1,1,280000,451000000,5,1,5,45,1,0,1,4,15,0
1441,2,1,328000,133300000,3,2,2,30,1,1,2,1,6,0
1442,1,1,192000,450800000,5,1,4,40,1,0,2,4,8,0
1444,1,1,552000,536100000,2,3,5,36,1,0,4,2,12,0
1445,2,1,200000,394500000,5,3,5,37,0,0,2,2,3,0
1446,1,1,368000,290700000,1,1,3,31,1,0,4,4,15,0
1447,2,1,680000,563200000,3,2,4,31,1,1,4,4,12,0
1449,2,1,424000,118300000,1,2,3,29,1,0,3,2,5,0
1450,2,1,544000,416400000,2,3,5,34,1,0,1,2,3,0
1453,1,2,344000,554300000,3,1,4,30,0,0,3,1,3,0
1454,2,1,120000,28000000,5,1,3,32,0,1,4,3,9,0
1455,2,1,168000,393800000,3,2,3,29,1,0,2,2,5,0
1456,1,1,104000,118800000,2,1,3,36,1,0,4,4,6,0
1457,2,1,392000,395900000,5,2,5,31,1,1,2,1,12,0
1458,2,1,288000,562200000,2,1,3,32,0,0,1,4,8,0
1460,2,1,360000,134900000,4,1,4,35,1,1,1,1,6,0
1461,2,1,640000,229700000,2,3,5,40,0,1,2,2,12,0
1463,1,1,600000,414200000,4,3,5,36,1,0,4,2,12,0
1464,2,1,216000,491000000,3,3,5,37,0,0,2,2,3,0
1465,1,1,656000,30600000,2,1,3,31,1,0,4,4,15,0
1467,1,1,368000,441400000,1,1,4,36,1,0,2,1,3,0
1469,2,1,488000,196100000,2,3,5,34,1,0,1,2,3,0
1470,1,1,504000,504300000,5,3,5,45,1,1,3,2,5,0
1471,2,2,504000,591900000,1,2,2,25,0,0,2,2,6,0
1472,1,2,712000,594700000,3,1,4,30,0,0,3,1,3,0
1474,2,1,272000,142700000,1,2,3,29,1,0,2,2,5,0
1475,1,1,408000,382800000,2,1,3,36,1,0,4,4,6,0
1478,1,1,536000,484300000,3,2,2,25,1,0,2,2,9,0
1479,2,1,512000,253700000,5,1,4,35,1,1,1,1,6,0
1480,2,1,240000,471200000,3,3,5,40,0,1,2,2,12,0
1481,1,2,120000,445900000,2,3,5,35,1,1,4,4,3,0
1482,1,1,696000,489300000,5,2,1,25,0,1,2,2,5,0
1483,1,1,432000,573900000,2,1,4,29,1,0,3,4,12,0
1484,1,1,344000,170900000,5,1,5,45,1,0,1,4,15,0
1485,2,1,160000,484700000,4,2,2,30,1,1,2,1,6,0
1486,1,1,432000,393500000,2,1,4,40,1,0,2,4,8,0
1488,1,1,416000,491800000,4,3,5,36,1,0,4,2,12,0
1489,2,1,416000,273000000,3,3,5,37,0,0,2,2,3,0
1492,1,1,208000,221200000,2,1,4,36,1,0,2,1,3,0
1493,2,1,416000,147600000,5,2,3,29,1,0,3,2,5,0
1494,2,1,648000,294300000,1,3,5,34,1,0,1,2,3,0
1495,1,1,272000,29200000,3,3,5,45,1,1,3,2,5,0
1496,2,2,624000,383800000,3,2,2,25,0,0,2,2,6,0
1497,1,2,760000,164300000,1,1,4,30,0,0,3,1,3,0
1499,2,1,152000,564500000,3,2,3,29,1,0,2,2,5,0
1500,2,2,400000,561500000,5,2,2,28,1,0,3,3,10,0
1501,2,1,360000,75100000,3,1,5,32,1,0,3,1,12,0
1504,1,2,784000,428200000,2,3,5,35,1,1,4,4,3,0
1506,1,1,136000,197800000,2,1,4,29,1,0,3,4,12,0
1507,1,1,512000,217400000,5,1,5,45,1,0,1,4,15,0
1508,2,1,656000,339300000,4,2,2,30,1,1,2,1,6,0
1509,1,1,512000,520300000,2,1,4,40,1,0,2,4,8,0
1511,1,1,624000,332800000,4,3,5,36,1,0,4,2,12,0
1512,2,1,376000,104400000,3,3,5,37,0,0,2,2,3,0
1515,1,1,584000,272800000,1,1,4,36,1,0,2,1,3,0
1516,2,1,448000,597600000,3,2,3,29,1,0,3,2,5,0
1517,2,1,360000,190300000,2,3,5,34,1,0,1,2,3,0
1518,1,1,304000,518300000,3,3,5,45,1,1,3,2,5,0
1519,2,2,536000,308100000,5,2,2,25,0,0,2,2,6,0
1520,1,2,720000,554100000,3,1,4,30,0,0,3,1,3,0
1522,2,1,104000,231700000,3,2,3,29,1,0,2,2,5,0
1523,1,1,312000,205400000,2,1,3,36,1,0,4,4,6,0
1525,2,1,560000,197800000,2,1,3,32,0,0,1,4,8,0
1526,1,1,408000,483400000,5,2,2,25,1,0,2,2,9,0
1527,2,1,152000,267200000,4,1,4,35,1,1,1,1,6,0
1529,1,2,336000,201100000,3,3,5,35,1,1,4,4,3,0
1531,1,1,512000,102000000,3,1,4,29,1,0,3,4,12,0
1532,1,1,632000,208100000,2,1,5,45,1,0,1,4,15,0
1533,2,1,544000,346300000,2,2,2,30,1,1,2,1,6,0
1534,1,1,296000,342500000,1,1,4,40,1,0,2,4,8,0
1536,1,1,96000,562400000,2,3,5,36,1,0,4,2,12,0
1537,2,1,128000,285200000,5,3,5,37,0,0,2,2,3,0
1541,1,2,648000,256500000,1,3,5,35,1,1,4,4,3,0
1543,1,1,560000,331500000,3,1,4,29,1,0,3,4,12,0
1544,1,1,400000,439700000,5,1,5,45,1,0,1,4,15,0
1545,2,1,632000,420900000,3,2,2,30,1,1,2,1,6,0
1546,1,1,128000,25600000,5,1,4,40,1,0,2,4,8,0
1548,1,1,280000,87400000,2,3,5,36,1,0,4,2,12,0
1551,2,1,368000,591700000,5,2,4,31,1,1,4,4,12,0
1553,2,1,264000,412100000,5,2,3,29,1,0,2,2,5,0
1554,2,1,184000,584200000,2,3,5,34,1,0,3,2,3,0
1555,1,1,480000,100700000,5,3,5,45,1,1,1,2,5,0
1556,2,2,240000,56900000,4,2,2,25,0,0,2,2,6,0
1558,2,1,520000,340600000,3,1,3,32,0,1,3,3,9,0
1559,2,1,320000,160800000,4,2,3,29,1,0,4,2,5,0
1562,2,1,272000,209000000,2,1,3,32,0,0,4,4,6,0
1563,1,1,568000,159200000,1,2,2,25,1,1,2,2,10,0
1564,2,1,416000,409400000,3,1,4,35,1,1,3,1,12,0
1566,1,2,216000,408500000,5,3,5,35,1,1,3,4,12,0
1568,1,1,504000,52400000,3,1,4,29,1,0,3,4,5,0
1569,1,1,216000,148700000,3,1,5,45,1,1,4,4,12,0
1570,2,1,752000,77400000,1,2,2,30,1,0,2,1,15,0
1571,1,1,424000,39700000,2,1,4,40,1,1,4,4,6,0
1573,1,1,696000,297500000,5,3,5,36,1,0,1,2,9,0
1574,2,1,512000,74700000,3,3,5,37,0,0,2,2,12,0
1577,1,1,792000,437800000,2,1,4,36,1,0,3,1,12,0
1578,2,1,104000,384500000,5,2,3,29,1,0,4,2,3,0
1579,2,1,192000,350000000,2,3,5,34,1,1,2,2,5,0
1580,1,1,208000,24700000,5,3,5,45,1,0,4,2,3,0
1581,2,2,704000,88000000,4,2,2,25,0,0,4,2,5,0
1582,1,2,304000,177300000,2,1,4,30,0,1,2,1,6,0
1584,2,1,192000,246900000,4,2,3,29,1,0,1,2,9,0
1585,2,2,248000,33400000,3,2,2,28,1,1,3,3,5,0
1586,2,1,528000,464200000,5,1,5,32,1,0,2,1,6,0
1589,1,2,600000,451700000,5,3,5,35,1,1,2,4,9,0
1591,1,1,400000,347600000,3,1,4,29,1,0,2,4,12,0
1592,1,1,800000,466000000,3,1,5,45,1,0,1,4,3,0
1593,2,1,224000,281000000,1,2,2,30,1,1,2,1,5,0
1594,1,1,640000,89000000,2,1,4,40,1,0,1,4,12,0
1596,1,1,656000,313100000,5,3,5,36,1,0,4,2,6,0
1597,2,1,416000,570200000,3,3,5,37,0,0,2,2,8,0
1600,1,1,304000,325000000,2,1,4,36,1,0,2,1,3,0
1601,2,1,704000,154400000,5,2,3,29,1,0,2,2,5,0
1602,2,1,160000,109400000,2,3,5,34,1,0,3,2,3,0
1603,1,1,696000,385300000,5,3,5,45,1,1,4,2,5,0
1604,2,2,640000,362100000,4,2,2,25,0,0,2,2,6,0
1605,1,2,312000,103800000,2,1,4,30,0,0,4,1,3,0
1607,2,1,256000,194500000,4,2,3,29,1,0,2,2,5,0
1608,2,1,208000,503900000,2,1,3,32,0,0,3,4,8,0
1609,1,1,112000,29500000,1,2,2,25,1,0,1,2,9,0
1610,2,1,536000,160700000,3,1,4,35,1,1,3,1,6,0
1612,1,2,184000,87400000,5,3,5,35,1,1,3,4,3,0
1614,1,1,384000,326500000,3,1,4,29,1,0,2,4,12,0
1615,1,1,96000,70400000,3,1,5,45,1,0,3,4,15,0
1616,2,1,472000,146100000,1,2,2,30,1,1,3,1,6,0
1617,1,1,536000,497600000,2,1,4,40,1,0,3,4,8,0
1619,1,1,696000,56200000,5,3,5,36,1,0,4,2,12,0
1620,2,1,536000,370100000,3,3,5,37,0,0,2,2,3,0
1624,1,2,96000,79700000,5,3,5,35,1,1,2,4,3,0
1626,1,1,544000,460200000,3,1,4,29,1,0,4,4,12,0
1627,1,1,688000,298700000,3,1,5,45,1,0,2,4,15,0
1628,2,1,120000,322400000,1,2,2,30,1,1,4,1,6,0
1629,1,1,96000,186400000,2,1,4,40,1,0,4,4,8,0
1631,1,1,680000,386900000,5,3,5,36,1,0,3,2,12,0
1632,2,1,496000,459800000,3,3,5,37,0,0,1,2,3,0
1635,1,1,256000,173100000,2,1,4,36,1,0,3,1,3,0
1636,2,1,192000,552500000,5,2,3,29,1,0,4,2,5,0
1637,2,1,232000,18200000,2,3,5,34,1,0,2,2,3,0
1638,1,1,456000,397900000,5,3,5,45,1,1,4,2,5,0
1639,2,2,152000,598400000,4,2,2,25,0,0,2,2,6,0
1640,1,2,592000,407400000,2,1,4,30,0,0,1,1,3,0
1642,2,1,88000,173500000,4,2,3,29,1,0,1,2,5,0
1643,1,1,136000,269800000,3,1,3,36,1,0,2,4,6,0
1645,2,1,640000,282800000,2,1,3,32,0,0,2,4,8,0
1646,1,1,664000,25000000,1,2,2,25,1,0,3,2,9,0
1647,2,1,504000,224300000,3,1,4,35,1,1,1,1,6,0
1649,1,2,152000,122600000,5,3,5,35,1,1,2,4,3,0
1651,1,1,696000,13600000,3,1,4,29,1,0,4,4,12,0
1652,1,1,568000,372200000,3,1,5,45,1,0,2,4,15,0
1653,2,1,392000,571000000,1,2,2,30,1,1,4,1,6,0
1654,1,1,304000,487600000,2,1,4,40,1,0,3,4,8,0
1656,1,1,328000,425500000,5,3,5,36,1,0,4,2,12,0
1657,2,1,256000,85500000,3,3,5,37,0,0,2,2,3,0
1660,1,1,472000,338300000,2,1,4,36,1,0,2,1,3,0
1661,2,1,680000,376900000,5,2,3,29,1,0,2,2,5,0
1662,2,1,480000,80400000,2,3,5,34,1,0,3,2,3,0
1663,1,1,88000,185500000,5,3,5,45,1,1,4,2,5,0
1664,2,2,240000,224000000,4,2,2,25,0,0,2,2,6,0
1665,1,2,200000,422500000,2,1,4,30,0,0,4,1,3,0
1667,2,1,224000,226900000,4,2,3,29,1,0,2,2,5,0
1668,2,2,160000,578100000,3,2,2,28,1,0,3,3,10,0
1669,2,1,544000,374900000,5,1,5,32,1,0,1,1,12,0
1672,1,2,224000,518600000,5,3,5,35,1,1,3,4,3,0
1674,1,1,264000,455500000,3,1,4,29,1,0,2,4,12,0
1675,1,1,696000,197900000,3,1,5,45,1,0,4,4,15,0
1676,2,1,736000,588400000,1,2,2,30,1,1,2,1,6,0
1677,1,1,312000,577200000,2,1,4,40,1,0,1,4,8,0
1679,1,1,184000,487100000,5,3,5,36,1,0,1,2,12,0
1680,2,1,384000,162900000,3,3,5,37,0,0,2,2,3,0
1683,1,1,704000,450000000,2,1,4,36,1,0,3,1,3,0
1684,2,1,768000,231600000,5,2,3,29,1,0,1,2,5,0
1685,2,1,504000,155700000,2,3,5,34,1,0,2,2,3,0
1686,1,1,184000,296100000,5,3,5,45,1,1,2,2,5,0
1687,2,2,600000,192800000,4,2,2,25,0,0,3,2,6,0
1688,1,2,488000,583400000,2,1,4,30,0,0,4,1,3,0
1690,2,1,752000,191900000,4,2,3,29,1,0,2,2,5,0
1691,1,1,592000,259700000,3,1,3,36,1,0,4,4,6,0
1693,2,1,472000,385900000,2,1,3,32,0,0,1,4,8,0
1694,1,1,192000,328800000,1,2,2,25,1,0,2,2,9,0
1695,2,1,464000,143700000,3,1,4,35,1,1,1,1,6,0
1698,1,1,568000,404800000,5,3,5,36,1,0,4,2,12,0
1699,2,1,248000,555800000,3,3,5,37,0,0,2,2,3,0
1702,1,1,752000,375300000,2,1,4,36,1,0,2,1,3,0
1703,2,1,736000,94900000,5,2,3,29,1,0,3,2,5,0
1704,2,1,432000,577900000,2,3,5,34,1,0,1,2,3,0
1705,1,1,344000,88600000,5,3,5,45,1,1,3,2,5,0
1706,2,2,488000,513100000,4,2,2,25,0,0,2,2,6,0
1707,1,2,728000,17500000,2,1,4,30,0,0,3,1,3,0
1709,2,1,424000,158300000,4,2,3,29,1,0,2,2,5,0
1710,1,1,640000,464200000,3,1,3,36,1,0,4,4,6,0
1712,2,1,320000,278300000,2,1,3,32,0,0,1,4,8,0
1713,1,1,752000,278900000,1,2,2,25,1,0,2,2,9,0
1714,2,1,760000,199600000,3,1,4,35,1,1,1,1,6,0
1716,1,2,432000,85100000,5,3,5,35,1,1,4,4,3,0
1718,1,1,128000,139000000,3,1,4,29,1,0,3,4,12,0
1719,1,1,296000,531300000,3,1,5,45,1,0,1,4,15,0
1720,2,1,376000,254300000,1,2,2,30,1,1,2,1,6,0
1721,1,1,200000,23300000,2,1,4,40,1,0,2,4,8,0
1723,1,1,696000,263900000,5,3,5,36,1,0,4,2,12,0
1724,2,1,544000,568700000,3,3,5,37,0,0,2,2,3,0
1727,1,1,312000,227700000,2,1,4,36,1,0,2,1,3,0
1728,2,1,120000,492700000,5,2,3,29,1,0,3,2,5,0
1729,2,1,480000,587400000,2,3,5,34,1,0,1,2,3,0
1730,1,1,784000,128200000,5,3,5,45,1,1,3,2,5,0
1731,2,2,712000,32700000,4,2,2,25,0,0,2,2,6,0
1732,1,2,184000,414800000,2,1,4,30,0,0,3,1,3,0
1734,2,1,320000,170900000,4,2,3,29,1,0,2,2,5,0
1735,2,2,312000,199000000,3,2,2,28,1,0,3,3,10,0
1736,2,1,656000,521400000,5,1,5,32,1,0,3,1,12,0
1739,1,2,744000,405000000,5,3,5,35,1,1,4,4,3,0
1741,1,1,624000,436800000,3,1,4,29,1,0,3,4,12,0
1742,1,1,208000,567700000,3,1,5,45,1,0,1,4,15,0
1743,2,1,232000,38700000,1,2,2,30,1,1,2,1,6,0
1744,1,1,312000,201600000,2,1,4,40,1,0,2,4,8,0
1746,1,1,272000,229600000,5,3,5,36,1,0,4,2,12,0
1747,2,1,760000,24800000,3,3,5,37,0,0,2,2,3,0
1750,1,1,568000,592300000,2,1,4,36,1,0,2,1,3,0
1751,2,1,96000,313900000,5,2,3,29,1,0,3,2,5,0
1752,2,1,184000,417800000,2,3,5,34,1,0,1,2,3,0
1753,1,1,216000,450100000,5,3,5,45,1,1,3,2,5,0
1754,2,2,200000,80700000,4,2,2,25,0,0,2,2,6,0
1755,1,2,696000,191600000,2,1,4,30,0,0,3,1,3,0
1757,2,1,648000,122000000,4,2,3,29,1,0,2,2,5,0
1758,1,1,88000,241200000,3,1,3,36,1,0,4,4,6,0
1760,2,1,584000,338600000,2,1,3,32,0,0,1,4,8,0
1761,1,1,576000,177700000,1,2,2,25,1,0,2,2,9,0
1762,2,1,208000,391700000,3,1,4,35,1,1,1,1,6,0
1764,1,2,176000,87800000,5,3,5,35,1,1,4,4,3,0
1766,1,1,512000,113200000,3,1,4,29,1,0,3,4,12,0
1767,1,1,624000,51400000,3,1,5,45,1,0,1,4,15,0
1768,2,1,288000,418600000,1,2,2,30,1,1,2,1,6,0
1769,1,1,456000,267800000,2,1,4,40,1,0,2,4,8,0
1771,1,1,104000,34300000,5,3,5,36,1,0,4,2,12,0
1772,2,1,712000,432300000,3,3,5,37,0,0,2,2,3,0
1776,1,2,528000,429300000,5,3,5,35,1,1,4,2,3,0
1778,1,1,456000,396300000,3,1,4,29,1,0,3,2,12,0
1779,1,1,600000,473500000,3,1,5,45,1,0,1,2,15,0
1780,2,1,272000,460100000,1,2,2,30,1,1,2,1,6,0
1781,1,1,144000,459200000,2,1,4,40,1,0,2,3,8,0
1783,1,1,648000,162000000,5,3,5,36,1,0,4,4,12,0
1784,2,1,248000,498000000,3,3,5,37,0,0,2,1,3,0
1787,1,1,304000,456200000,2,1,4,36,1,0,2,1,3,0
1788,2,1,336000,170500000,5,2,3,29,1,0,3,2,5,0
1789,2,1,88000,284000000,2,3,5,34,1,0,1,4,3,0
1790,1,1,416000,20300000,5,3,5,45,1,1,3,2,5,0
1791,2,2,456000,445000000,4,2,2,25,0,0,2,4,6,0
1792,1,2,800000,505000000,2,1,4,30,0,0,3,4,3,0
1794,2,1,168000,147500000,4,2,3,29,1,0,2,4,5,0
1795,1,1,608000,576400000,3,1,3,36,1,0,4,4,6,0
1797,2,1,376000,91200000,2,1,3,32,0,0,1,2,8,0
1798,1,1,712000,302900000,1,2,2,25,1,0,2,4,9,0
1799,2,1,448000,291200000,3,1,4,35,1,1,1,1,6,0
1801,1,2,696000,497500000,5,3,5,35,1,1,4,4,3,0
1803,1,1,208000,401700000,3,1,4,29,1,0,3,4,12,0
1804,1,1,552000,28600000,3,1,5,45,1,0,1,4,15,0
1805,2,1,280000,183700000,1,2,2,30,1,1,2,1,6,0
1806,1,1,184000,587400000,2,1,4,40,1,0,2,4,8,0
1808,1,1,144000,541100000,5,3,5,36,1,0,4,2,12,0
1809,2,1,152000,187200000,3,3,5,37,0,0,2,2,3,0
1812,1,1,504000,427200000,2,1,4,36,1,0,2,1,3,0
1813,1,1,488000,286400000,5,3,5,36,1,0,4,2,12,0
1814,2,1,352000,339600000,3,3,5,37,0,0,2,2,3,0
1817,1,1,472000,117100000,2,1,4,36,1,0,2,1,3,0
1818,2,1,400000,571700000,5,2,3,29,1,0,3,2,5,0
1819,2,1,536000,464800000,2,3,5,34,1,0,1,2,3,0
1820,1,1,296000,53900000,5,3,5,45,1,1,3,2,5,0
1821,2,2,376000,227600000,4,2,2,25,0,0,2,2,6,0
1822,1,2,672000,310900000,2,1,4,30,0,0,3,1,3,0
1824,2,1,88000,82000000,4,2,3,29,1,0,2,2,5,0
1825,1,1,400000,562400000,3,1,3,36,1,0,4,4,6,0
1827,2,1,120000,270800000,2,1,3,32,0,0,1,4,8,0
1828,1,1,584000,457600000,1,2,2,25,1,0,2,2,9,0
1829,2,1,600000,93700000,3,1,4,35,1,1,1,1,6,0
1831,1,2,712000,52400000,5,3,5,35,1,1,4,4,3,0
1833,1,1,256000,540800000,3,1,4,29,1,0,3,4,12,0
1834,1,1,320000,272300000,3,1,5,45,1,0,1,4,15,0
1835,2,1,192000,44700000,1,2,2,30,1,1,2,1,6,0
1836,1,1,392000,221000000,2,1,4,40,1,0,2,4,8,0
1838,1,1,720000,242900000,5,3,5,36,1,0,4,2,12,0
1839,2,1,216000,503700000,3,3,5,37,0,0,2,2,3,0
1842,1,1,544000,130500000,2,1,4,36,1,0,2,1,3,0
1843,2,1,312000,577800000,5,2,3,29,1,0,3,2,5,0
1844,2,1,344000,350700000,2,3,5,34,1,0,1,2,3,0
1845,1,1,304000,175900000,5,3,5,45,1,1,3,2,5,0
1846,2,2,768000,497600000,4,2,2,25,0,0,2,2,6,0
1847,1,2,720000,85800000,2,1,4,30,0,0,3,1,3,0
1849,2,1,608000,29900000,4,2,3,29,1,0,2,2,5,0
1850,2,2,608000,598200000,3,2,2,28,1,0,3,3,10,0
1851,2,1,800000,75900000,5,1,5,32,1,0,3,1,12,0
1854,1,2,264000,581200000,5,3,5,35,1,1,4,4,3,0
1856,1,1,736000,449000000,3,1,4,29,1,0,3,4,12,0
1857,1,1,536000,399900000,3,1,5,45,1,0,1,4,15,0
1858,2,1,536000,562200000,1,2,2,30,1,1,2,1,6,0
1859,1,1,232000,162200000,2,1,4,40,1,0,2,4,8,0
1861,1,1,464000,150500000,5,3,5,36,1,0,4,2,12,0
1862,2,1,416000,286100000,3,3,5,37,0,0,2,2,3,0
1865,1,1,208000,204200000,2,1,4,36,1,0,2,1,3,0
1866,2,1,272000,218200000,5,2,3,29,1,0,3,2,5,0
1867,2,1,384000,308400000,2,3,5,34,1,0,1,2,3,0
1868,1,1,280000,363600000,5,3,5,45,1,1,3,2,3,0
1869,2,2,592000,289000000,4,2,2,25,0,0,2,2,9,0
1870,1,2,480000,155100000,2,1,4,30,0,0,3,1,5,0
1872,2,1,736000,541800000,4,2,3,29,1,0,2,2,12,0
1873,1,1,488000,140900000,3,1,3,36,1,0,4,4,8,0
1875,2,1,352000,539300000,2,1,3,32,0,0,1,4,6,0
1876,1,1,128000,343700000,1,2,2,25,1,0,2,2,12,0
1877,2,1,648000,437600000,3,1,4,35,1,1,1,1,3,0
1879,1,2,208000,498400000,5,3,5,35,1,1,4,4,12,0
1881,1,1,688000,287500000,3,1,4,29,1,0,3,4,6,0
1882,1,1,552000,140100000,3,1,5,45,1,0,1,4,8,0
1883,2,1,472000,348100000,1,2,2,30,1,1,2,1,9,0
1884,1,1,496000,271600000,2,1,4,40,1,0,2,4,12,0
1886,1,1,280000,244000000,5,3,5,36,1,0,4,2,15,0
1887,2,1,232000,248100000,3,3,5,37,0,0,2,2,4,0
1891,1,2,312000,107200000,5,3,5,35,1,1,4,4,12,0
1893,1,1,472000,380000000,3,1,4,29,1,0,3,4,6,0
1894,1,1,448000,133600000,3,1,5,45,1,0,1,4,8,0
1895,2,1,432000,389100000,1,2,2,30,1,1,2,1,9,0
1896,1,1,736000,179800000,2,1,4,40,1,0,2,4,12,0
1898,1,1,232000,387800000,5,3,5,36,1,0,4,2,15,0
1899,2,1,192000,351800000,3,3,5,37,0,0,2,2,12,0
1902,1,1,168000,552800000,2,1,4,36,1,0,2,1,3,0
1903,2,1,312000,111700000,5,2,3,29,1,0,3,2,5,0
1904,2,1,288000,226100000,2,3,5,34,1,0,1,2,3,0
1905,1,1,704000,377200000,5,3,5,45,1,1,3,2,5,0
1906,2,2,440000,379100000,4,2,2,25,0,0,2,2,6,0
1907,1,2,160000,184000000,2,1,4,30,0,0,3,1,3,0
1909,2,1,224000,430500000,4,2,3,29,1,0,2,2,5,0
1910,1,1,560000,149900000,3,1,3,36,1,0,4,4,6,0
1912,2,1,696000,81000000,2,1,3,32,0,0,1,4,8,0
1913,1,1,584000,60300000,1,2,2,25,1,0,2,2,9,0
1914,2,1,680000,76900000,3,1,4,35,1,1,1,1,6,0
1916,1,2,504000,445800000,5,3,5,35,1,1,4,4,3,0
1918,1,1,760000,371900000,3,1,4,29,1,0,3,4,12,0
1919,1,1,176000,429300000,3,1,5,45,1,0,1,4,15,0
1920,2,1,760000,572400000,1,2,2,30,1,1,2,1,6,0
1921,1,1,432000,13600000,2,1,4,40,1,0,2,4,8,0
1923,1,1,576000,44600000,5,3,5,36,1,0,4,2,12,0
1924,2,1,320000,215300000,3,3,5,37,0,0,2,2,3,0
1927,1,1,320000,450600000,2,1,4,36,1,0,2,1,3,0
1928,2,1,504000,559400000,5,2,3,29,1,0,3,2,5,0
1929,2,1,608000,91800000,2,3,5,34,1,0,1,2,3,0
1930,1,1,96000,131100000,5,3,5,45,1,1,3,2,5,0
1931,2,2,544000,405400000,4,2,2,25,0,0,2,2,6,0
1932,1,2,672000,541900000,2,1,4,30,0,0,3,1,3,0
1934,2,1,584000,44000000,4,2,3,29,1,0,2,2,5,0
1935,2,2,568000,553700000,3,2,2,28,1,0,3,3,10,0
1936,2,1,104000,178000000,5,1,5,32,1,0,3,1,12,0
1939,1,2,728000,522900000,5,3,5,35,1,1,4,4,3,0
1941,1,1,608000,481200000,3,1,4,29,1,0,3,4,12,0
1942,1,1,160000,104400000,3,1,5,45,1,0,1,4,15,0
1943,2,1,224000,218300000,1,2,2,30,1,1,2,1,6,0
1944,1,1,112000,554900000,2,1,4,40,1,0,2,4,8,0
1946,1,1,456000,580000000,5,3,5,36,1,0,4,2,12,0
1947,2,1,376000,15900000,3,3,5,37,0,0,2,2,3,0
1950,1,1,288000,270500000,2,1,4,36,1,0,2,1,3,0
1951,2,1,168000,303400000,5,2,3,29,1,0,3,2,5,0
1952,2,1,592000,509600000,2,3,5,34,1,0,1,2,3,0
1953,1,1,800000,444100000,5,3,5,45,1,1,3,2,5,0
1954,2,2,600000,68100000,4,2,2,25,0,0,2,2,6,0
1957,2,1,456000,110800000,4,2,3,29,1,0,2,2,5,0
1959,1,1,792000,84400000,1,2,2,25,1,0,2,1,9,0
1960,2,1,88000,191400000,3,1,4,35,1,1,1,4,6,0
1961,2,1,160000,132200000,2,3,5,40,0,1,2,2,12,0
1962,1,2,304000,257200000,5,3,5,35,1,1,4,4,3,0
1964,1,1,560000,249000000,3,1,4,29,1,0,3,4,12,0
1965,1,1,400000,284300000,3,1,5,45,1,0,1,4,15,0
1968,2,1,752000,435000000,3,2,4,32,0,1,3,4,9,0
1969,1,1,560000,47400000,5,3,5,36,1,0,4,2,12,0
1970,2,1,632000,381700000,3,3,5,37,0,0,2,2,3,0
1971,1,1,720000,538100000,5,1,3,31,1,0,4,4,15,0
1973,2,1,680000,383800000,2,3,5,40,0,1,2,1,12,0
1975,1,1,352000,417700000,1,2,1,25,0,1,2,2,5,0
1976,1,1,592000,398500000,3,1,4,29,1,0,3,2,12,0
1978,2,1,680000,431000000,1,2,2,30,1,1,2,1,6,0
1979,1,1,512000,391300000,2,1,4,40,1,0,2,3,8,0
1980,2,1,144000,537400000,3,2,4,32,0,1,3,2,9,0
1982,2,1,608000,307300000,3,3,5,37,0,0,2,1,3,0
1984,2,1,200000,98900000,3,2,4,31,1,1,4,2,12,0
1985,1,1,400000,497500000,2,1,4,36,1,0,2,1,3,0
1986,2,1,528000,104100000,5,2,3,29,1,0,3,2,5,0
1987,2,1,600000,166900000,2,3,5,34,1,0,1,4,3,0
1988,1,1,728000,209800000,5,3,5,45,1,1,3,2,5,0
1989,2,2,800000,361600000,4,2,2,25,0,0,2,4,6,0
1990,1,2,264000,165300000,2,1,4,30,0,0,3,1,3,0
1992,2,1,368000,126600000,4,2,3,29,1,0,2,2,5,0
1993,1,1,648000,560700000,3,1,3,36,1,0,4,4,6,0
1995,2,1,344000,377000000,2,1,3,32,0,0,1,4,8,0
1996,1,1,296000,276500000,1,2,2,25,1,0,2,2,9,0
1997,2,1,360000,260700000,3,1,4,35,1,1,1,1,6,0
1999,1,2,216000,281100000,5,3,5,35,1,1,4,4,3,0
2001,1,1,208000,195800000,3,1,4,29,1,0,3,4,12,0
2002,1,1,144000,359400000,3,1,5,45,1,0,1,4,15,0
2005,2,1,328000,184100000,3,2,4,32,0,1,3,4,9,0
2007,2,1,408000,345700000,3,3,5,37,0,0,2,2,3,0
2008,1,1,592000,451000000,5,1,3,31,1,0,4,4,15,0
