ID khách hàng,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ,
1449,1. nữ,1. Việt Nam,280000,"63,100,000",3. mua xe,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,1. Không trả nợ đúng hạn,
1450,2. nam,1. Việt Nam,424000,"118,300,000",1. Tiêu dùng,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
1451,2. nam,1. Việt Nam,544000,"416,400,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
1452,1. nam,1. Việt Nam,512000,"374,200,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,1. Không trả nợ đúng hạn,
1453,2. nữ,2. Nước ngoài,560000,"253,100,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,1. Không trả nợ đúng hạn,
1454,1. nam,2. Nước ngoài,344000,"554,300,000",3. mua xe,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
1455,2. nữ,1. Việt Nam,120000,"28,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,0. Trả nợ đúng hạn,
1456,2. nam,1. Việt Nam,168000,"393,800,000",3. mua xe,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
1457,1. nam,1. Việt Nam,104000,"118,800,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
1458,2. nữ,1. Việt Nam,392000,"395,900,000",5. đầu tư chứng khoán,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,0. Trả nợ đúng hạn,
1459,2. nữ,1. Việt Nam,288000,"562,200,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,8,0. Trả nợ đúng hạn,
1460,1. nam,1. Việt Nam,432000,"465,800,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,1. Không trả nợ đúng hạn,
1461,2. nữ,1. Việt Nam,360000,"134,900,000",4. học tập,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
1462,2. nữ,1. Việt Nam,640000,"229,700,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,0. Trả nợ đúng hạn,
1463,2. nữ,1. Việt Nam,752000,"193,800,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
1464,1. nam,1. Việt Nam,600000,"414,200,000",4. học tập,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
1465,2. nữ,1. Việt Nam,216000,"491,000,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
1466,1. nam,1. Việt Nam,656000,"30,600,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,0. Trả nợ đúng hạn,
1467,2. nữ,1. Việt Nam,672000,"541,400,000",2. mua nhà,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
1468,1. nữ,1. Việt Nam,368000,"441,400,000",1. Tiêu dùng,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
1469,2. nam,1. Việt Nam,744000,"119,600,000",3. mua xe,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,1. Không trả nợ đúng hạn,
1470,2. nam,1. Việt Nam,488000,"196,100,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
1471,1. nam,1. Việt Nam,504000,"504,300,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
1472,2. nữ,2. Nước ngoài,504000,"591,900,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
1473,1. nam,2. Nước ngoài,712000,"594,700,000",3. mua xe,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
1474,2. nữ,1. Việt Nam,544000,"596,900,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
1475,2. nam,1. Việt Nam,272000,"142,700,000",1. Tiêu dùng,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
1476,1. nam,1. Việt Nam,408000,"382,800,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
1477,2. nữ,1. Việt Nam,528000,"308,000,000",3. mua xe,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
1478,2. nữ,1. Việt Nam,600000,"343,300,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,8,1. Không trả nợ đúng hạn,
1479,1. nam,1. Việt Nam,536000,"484,300,000",3. mua xe,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
1480,2. nữ,1. Việt Nam,512000,"253,700,000",5. đầu tư chứng khoán,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
1481,2. nữ,1. Việt Nam,240000,"471,200,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,0. Trả nợ đúng hạn,
1482,1. nam,2. Nước ngoài,120000,"445,900,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
1483,1. nam,1. Việt Nam,696000,"489,300,000",5. đầu tư chứng khoán,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
1484,1. nam,1. Việt Nam,432000,"573,900,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
1485,1. nam,1. Việt Nam,344000,"170,900,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
1486,2. nữ,1. Việt Nam,160000,"484,700,000",4. học tập,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
1487,1. nam,1. Việt Nam,432000,"393,500,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
1488,2. nữ,1. Việt Nam,600000,"121,900,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
1489,1. nam,1. Việt Nam,416000,"491,800,000",4. học tập,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
1490,2. nữ,1. Việt Nam,416000,"273,000,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
1491,1. nam,1. Việt Nam,640000,"312,700,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
1492,2. nữ,1. Việt Nam,232000,"105,300,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
1493,1. nữ,1. Việt Nam,208000,"221,200,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
1494,2. nam,1. Việt Nam,416000,"147,600,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
1495,2. nam,1. Việt Nam,648000,"294,300,000",1. Tiêu dùng,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
1496,1. nam,1. Việt Nam,272000,"29,200,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
1497,2. nữ,2. Nước ngoài,624000,"383,800,000",3. mua xe,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
1498,1. nam,2. Nước ngoài,760000,"164,300,000",1. Tiêu dùng,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
1499,2. nữ,1. Việt Nam,104000,"290,700,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
1500,2. nam,1. Việt Nam,152000,"564,500,000",3. mua xe,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
1501,2. nữ,2. Nước ngoài,400000,"561,500,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,28,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,3. Trung học phổ thông,10,0. Trả nợ đúng hạn,
1502,2. nữ,1. Việt Nam,360000,"75,100,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,32,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
1503,1. nam,1. Việt Nam,408000,"516,500,000",5. đầu tư chứng khoán,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
1504,2. nữ,1. Việt Nam,392000,"245,400,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
1505,1. nam,2. Nước ngoài,784000,"428,200,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
1506,1. nam,1. Việt Nam,384000,"208,300,000",5. đầu tư chứng khoán,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
1507,1. nam,1. Việt Nam,136000,"197,800,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
1508,1. nam,1. Việt Nam,512000,"217,400,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
1509,2. nữ,1. Việt Nam,656000,"339,300,000",4. học tập,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
1510,1. nam,1. Việt Nam,512000,"520,300,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
1511,2. nữ,1. Việt Nam,88000,"433,200,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
1512,1. nam,1. Việt Nam,624000,"332,800,000",4. học tập,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
1513,2. nữ,1. Việt Nam,376000,"104,400,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
1514,1. nam,1. Việt Nam,280000,"534,700,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
1515,2. nữ,1. Việt Nam,112000,"407,400,000",2. mua nhà,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
1516,1. nữ,1. Việt Nam,584000,"272,800,000",1. Tiêu dùng,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
1517,2. nam,1. Việt Nam,448000,"597,600,000",3. mua xe,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
1518,2. nam,1. Việt Nam,360000,"190,300,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
1519,1. nam,1. Việt Nam,304000,"518,300,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
1520,2. nữ,2. Nước ngoài,536000,"308,100,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
1521,1. nam,2. Nước ngoài,720000,"554,100,000",3. mua xe,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
1522,2. nữ,1. Việt Nam,168000,"547,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
1523,2. nam,1. Việt Nam,104000,"231,700,000",3. mua xe,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
1524,1. nam,1. Việt Nam,312000,"205,400,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
1525,2. nữ,1. Việt Nam,640000,"39,400,000",5. đầu tư chứng khoán,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
1526,2. nữ,1. Việt Nam,560000,"197,800,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,8,0. Trả nợ đúng hạn,
1527,1. nam,1. Việt Nam,408000,"483,400,000",5. đầu tư chứng khoán,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
1528,2. nữ,1. Việt Nam,152000,"267,200,000",4. học tập,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
1529,2. nữ,1. Việt Nam,136000,"471,300,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
1530,1. nam,2. Nước ngoài,336000,"201,100,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
1531,1. nam,1. Việt Nam,744000,"374,100,000",4. học tập,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
1532,1. nam,1. Việt Nam,512000,"102,000,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
1533,1. nam,1. Việt Nam,632000,"208,100,000",2. mua nhà,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
1534,2. nữ,1. Việt Nam,544000,"346,300,000",2. mua nhà,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
1535,1. nam,1. Việt Nam,296000,"342,500,000",1. Tiêu dùng,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
1536,2. nữ,1. Việt Nam,312000,"37,500,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
1537,1. nam,1. Việt Nam,96000,"562,400,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
1538,2. nữ,1. Việt Nam,128000,"285,200,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
1539,1. nam,1. Việt Nam,640000,"204,000,000",1. Tiêu dùng,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
1540,1. nam,1. Việt Nam,536000,"267,400,000",3. mua xe,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
1541,2. nữ,1. Việt Nam,352000,"110,100,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
1542,1. nam,2. Nước ngoài,648000,"256,500,000",1. Tiêu dùng,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
1543,1. nam,1. Việt Nam,472000,"341,600,000",2. mua nhà,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
1544,1. nam,1. Việt Nam,560000,"331,500,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
1545,1. nam,1. Việt Nam,400000,"439,700,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
1546,2. nữ,1. Việt Nam,632000,"420,900,000",3. mua xe,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
1547,1. nam,1. Việt Nam,128000,"25,600,000",5. đầu tư chứng khoán,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
1548,2. nữ,1. Việt Nam,264000,"387,800,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
1549,1. nam,1. Việt Nam,280000,"87,400,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
1550,2. nữ,1. Việt Nam,688000,"581,500,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,1. Không trả nợ đúng hạn,
1551,1. nam,1. Việt Nam,312000,"553,800,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
1552,2. nữ,1. Việt Nam,368000,"591,700,000",5. đầu tư chứng khoán,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,0. Trả nợ đúng hạn,
1553,1. nữ,1. Việt Nam,328000,"150,200,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,1. Không trả nợ đúng hạn,
1554,2. nam,1. Việt Nam,264000,"412,100,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
1555,2. nam,1. Việt Nam,184000,"584,200,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,3,0. Trả nợ đúng hạn,
1556,1. nam,1. Việt Nam,480000,"100,700,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,2. Đại học,5,0. Trả nợ đúng hạn,
1557,2. nữ,2. Nước ngoài,240000,"56,900,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
1558,1. nam,2. Nước ngoài,520000,"330,700,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,1. Không trả nợ đúng hạn,
1559,2. nữ,1. Việt Nam,520000,"340,600,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,3. Trung học phổ thông,9,0. Trả nợ đúng hạn,
1560,2. nam,1. Việt Nam,320000,"160,800,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,5,0. Trả nợ đúng hạn,
1561,1. nam,1. Việt Nam,488000,"565,200,000",3. mua xe,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,6,1. Không trả nợ đúng hạn,
1562,2. nữ,1. Việt Nam,408000,"315,400,000",2. mua nhà,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,1. Cao học,12,1. Không trả nợ đúng hạn,
1563,2. nữ,1. Việt Nam,272000,"209,000,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
1564,1. nam,1. Việt Nam,568000,"159,200,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,10,0. Trả nợ đúng hạn,
1565,2. nữ,1. Việt Nam,416000,"409,400,000",3. mua xe,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
